Date,MCD.Open,MCD.High,MCD.Low,MCD.Close,MCD.Volume,MCD.Adjusted
2016/4/1,122.059998,124.080002,116.080002,120.339996,123229900,106.08593
2016/7/1,119.720001,128.600006,113.959999,115.360001,301997700,102.486153
2016/10/1,115.010002,124,110.330002,121.720001,268575700,108.977303
2017/1/1,121.860001,130.190002,118.18,129.610001,230989900,116.895409
2017/4/1,129.5,155.460007,128.649994,153.160004,223270300,139.001114
2017/7/1,153.440002,161.720001,151.770004,156.679993,217955500,143.039337
2017/10/1,156,175.779999,155.800003,172.119995,186593600,158.071899
2018/1/1,173.729996,178.699997,146.839996,156.380005,296871900,144.525101
2018/4/1,158.270004,171.559998,155.009995,156.690002,253363600,145.731522
2018/7/1,155.990005,167.830002,153.130005,167.289993,209832300,156.561462
2018/10/1,168.369995,190.880005,161.820007,177.570007,258449800,167.207031
2019/1/1,175.410004,190.520004,173.410004,189.899994,220475100,179.955917
2019/4/1,190.5,207.990005,186.699997,207.660004,175865800,197.938354
2019/7/1,208.860001,221.929993,206.190002,214.710007,186828300,205.740463
2019/10/1,211.130005,213.470001,187.550003,197.610001,252692900,190.568314
2020/1/1,198,218.389999,124.230003,165.350006,326548700,160.455734
2020/4/1,160.220001,202.729996,155,184.470001,272620800,180.203323
2020/7/1,184.949997,226.720001,182.619995,219.490005,187123600,215.667725
2020/10/1,221.589996,231.910004,206.190002,214.580002,196555100,212.096405
2021/1/1,214.490005,227.880005,202.729996,224.139999,205921000,222.908875
2021/4/1,224.669998,238.179993,223.279999,233.779999,106887200,233.779999
