Date,UNH.Open,UNH.High,UNH.Low,UNH.Close,UNH.Volume,UNH.Adjusted
2016/4/1,133.580002,141.309998,133.020004,141.199997,76424000,131.178787
2016/7/1,141.160004,144.479996,132.389999,140,189190000,130.664566
2016/10/1,139.350006,164,133.029999,160.039993,254858600,149.962982
2017/1/1,161.130005,172.139999,156.089996,164.009995,230258500,154.255844
2017/4/1,164.619995,188.660004,164.25,185.419998,190681500,175.112732
2017/7/1,186.289993,200.759995,183.860001,195.850006,164477700,185.664886
2017/10/1,196.589996,231.770004,186,220.460007,188005300,209.700684
2018/1/1,221.020004,250.789993,208.479996,214,241903500,204.229919
2018/4/1,218.460007,256.730011,214.630005,245.339996,187223900,234.9673
2018/7/1,245,271.160004,244.119995,266.040009,150016600,255.65181
2018/10/1,267.25,287.940002,231.809998,249.119995,248349800,240.157501
2019/1/1,245,272.48999,234.509995,247.259995,261527300,239.27417
2019/4/1,249.710007,253.490005,208.070007,244.009995,347562200,237.17482
2019/7/1,245.949997,268.690002,213.119995,217.320007,246732400,212.228607
2019/10/1,219.190002,300,212.080002,293.980011,240296700,288.19632
2020/1/1,293.980011,306.709991,187.720001,249.380005,368779300,245.532761
2020/4/1,238.690002,315.839996,226.029999,294.950012,276506100,291.650452
2020/7/1,295.829987,324.570007,287.100006,311.769989,177872800,309.552582
2020/10/1,312.910004,367.950012,299.600006,350.679993,196309700,349.438538
2021/1/1,351.450012,380.5,320.350006,372.070007,211797000,372.070007
2021/4/1,372.200012,425.980011,360.549988,405.850006,110623300,405.850006
